Race,Cause,Deployed,Retreated,FullLaps,Circuit 
1973 Canadian Grand Prix,Accident,33,39,5,Mosport Park 
1993 Brazilian Grand Prix,Accident/Rain,29,38,8,Interlagos 
1993 British Grand Prix,Stranded car,38,40,1,Silverstone 
1994 San Marino Grand Prix,Accident,1,6,4,Autodromo Enzo e Dino Ferrari
1995 Belgian Grand Prix,Rain,28,33,4,Spa-Francorchamps
1996 Argentine Grand Prix,Accident,28,33,4,Autódromo Oscar Alfredo Gálvez
1996 Belgian Grand Prix,Accident,13,18,4,Spa-Francorchamps
1997 Argentine Grand Prix,Accident,1,6,4,Autódromo Oscar Alfredo Gálvez
1997 Belgian Grand Prix,Rain,1,4,3,Spa-Francorchamps
1998 Canadian Grand Prix,Accident,1,6,4,Circuit Gilles Villeneuve
1998 Canadian Grand Prix,Debris,15,18,2,Circuit Gilles Villeneuve
1998 Canadian Grand Prix,Accident,20,22,1,Circuit Gilles Villeneuve
1998 British Grand Prix,Rain,42,49,6,Silverstone 
1998 Austrian Grand Prix,Two accidents,1,4,2,Red Bull Ring 
1998 Belgian Grand Prix,Accident,28,33,4,Spa-Francorchamps
1999 Australian Grand Prix,Accident,15,17,1,Melbourne Grand Prix Circuit
1999 Australian Grand Prix,Accident,20,25,4,Melbourne Grand Prix Circuit
1999 Canadian Grand Prix,Accident,1,3,1,Circuit Gilles Villeneuve
1999 Canadian Grand Prix,Accident,3,8,4,Circuit Gilles Villeneuve
1999 Canadian Grand Prix,Accident,35,41,5,Circuit Gilles Villeneuve
1999 Canadian Grand Prix,Accident,66,,3,Circuit Gilles Villeneuve
1999 French Grand Prix,Stranded car/Rain,25,36,10,Magny-Cours 
1999 European Grand Prix,Accident,1,6,4,Nürburgring
2000 Australian Grand Prix,Accident,7,11,3,Melbourne Grand Prix Circuit
2000 Austrian Grand Prix,Accident,1,3,1,Red Bull Ring 
2000 German Grand Prix,Man on track,25,29,3,Hockenheimring
2000 German Grand Prix,Accident,30,32,1,Hockenheimring
2000 Belgian Grand Prix,Rain,1,2,1,Spa-Francorchamps
2000 Italian Grand Prix,Multiple accidents,1,12,11,Monza 
2000 Malaysian Grand Prix,Accident,1,3,1,Sepang 
2001 Australian Grand Prix,Accident,5,15,9,Melbourne Grand Prix Circuit
2001 Malaysian Grand Prix,Rain,4,11,6,Sepang 
2001 Brazilian Grand Prix,Stranded car,1,3,1,Interlagos 
2001 Austrian Grand Prix,Four stranded cars,1,4,2,Red Bull Ring 
2001 Canadian Grand Prix,Accident,21,24,2,Circuit Gilles Villeneuve
2001 Belgian Grand Prix,Accident,6,7,1,Spa-Francorchamps
2002 Australian Grand Prix,Accident,1,6,4,Melbourne Grand Prix Circuit
2002 Australian Grand Prix,Accident,9,12,2,Melbourne Grand Prix Circuit
2002 Austrian Grand Prix,Stranded car,24,28,3,Red Bull Ring 
2002 Austrian Grand Prix,Accident,28,37,8,Red Bull Ring 
2002 Canadian Grand Prix,Stranded car,14,17,2,Circuit Gilles Villeneuve
2003 Australian Grand Prix,Two accidents,8,11,2,Melbourne Grand Prix Circuit
2003 Australian Grand Prix,Stranded car,16,20,3,Melbourne Grand Prix Circuit
2003 Brazilian Grand Prix,Rain,1,9,8,Interlagos 
2003 Brazilian Grand Prix,Accident,18,24,5,Interlagos 
2003 Brazilian Grand Prix,Three accidents,27,30,2,Interlagos 
2003 Brazilian Grand Prix,Accident,33,37,3,Interlagos 
2003 Brazilian Grand Prix,Two accidents,54,,2,Interlagos 
2003 Austrian Grand Prix,Stranded car,1,5,3,Red Bull Ring 
2003 British Grand Prix,Debris from car,5,7,1,Silverstone 
2003 British Grand Prix,Man on track,12,15,2,Silverstone 
2004 Monaco Grand Prix,Accident,3,8,4,Circuit de Monaco
2004 Monaco Grand Prix,Accident,32,37,4,Circuit de Monaco
2004 United States Grand Prix,Accident,1,6,4,Indianapolis Motor Speedway
2004 United States Grand Prix,Accident,11,20,8,Indianapolis Motor Speedway
2004 Belgian Grand Prix,Accident,1,5,3,Spa-Francorchamps
2004 Belgian Grand Prix,Accident,31,34,2,Spa-Francorchamps
2004 Belgian Grand Prix,Debris from accident,38,42,3,Spa-Francorchamps
2005 Monaco Grand Prix,Stranded car,25,29,3,Circuit de Monaco
2005 Canadian Grand Prix,Accident,46,52,5,Circuit Gilles Villeneuve
2005 British Grand Prix,Accident,1,3,1,Silverstone 
2005 Belgian Grand Prix,Accident,11,14,2,Spa-Francorchamps
2005 Japanese Grand Prix,Accident,1,8,6,Susuka 
2005 Chinese Grand Prix,Loose drain cover,19,25,5,Shanghai
2005 Chinese Grand Prix,Accident,29,35,5,Shanghai
2006 Australian Grand Prix,Accident,1,3,1,Melbourne Grand Prix Circuit
2006 Australian Grand Prix,Accident,8,10,1,Melbourne Grand Prix Circuit
2006 Australian Grand Prix,Accident,32,35,2,Melbourne Grand Prix Circuit
2006 Australian Grand Prix,Accident,36,40,3,Melbourne Grand Prix Circuit
2006 San Marino Grand Prix,Accident,1,3,1,Autodromo Enzo e Dino Ferrari
2006 Monaco Grand Prix,Stranded car,47,49,1,Circuit de Monaco
2006 British Grand Prix,Accident,2,4,1,Silverstone 
2006 Canadian Grand Prix,Accident,2,4,1,Circuit Gilles Villeneuve
2006 Canadian Grand Prix,Accident,61,64,2,Circuit Gilles Villeneuve
2006 United States Grand Prix,Two accidents,1,7,5,Indianapolis Motor Speedway
2006 Hungarian Grand Prix,Accident,26,31,4,Hungaroring
2006 Turkish Grand Prix,Stranded car,13,16,2,Istanbul 
2006 Brazilian Grand Prix,Accident,2,6,3,Interlagos 
2007 Bahrain Grand Prix,Accident,1,4,2,Bahrain
2007 Canadian Grand Prix,Accident,22,26,3,Circuit Gilles Villeneuve
2007 Canadian Grand Prix,Accident,26,34,7,Circuit Gilles Villeneuve
2007 Canadian Grand Prix,Debris from accident,50,54,3,Circuit Gilles Villeneuve
2007 Canadian Grand Prix,Accident,55,60,4,Circuit Gilles Villeneuve
2007 European Grand Prix,Accidents,3,7,3,Nürburgring
2007 Italian Grand Prix,Accident,1,7,5,Monza 
2007 Japanese Grand Prix,Rain,1,20,19,Susuka 
2007 Japanese Grand Prix,Accident,41,48,6,Susuka 
2008 Australian Grand Prix,Accident,1,3,1,Melbourne Grand Prix Circuit
2008 Australian Grand Prix,Accident,26,30,3,Melbourne Grand Prix Circuit
2008 Australian Grand Prix,Accident,44,47,2,Melbourne Grand Prix Circuit
2008 Spanish Grand Prix,Accident,1,4,2,Circuit de Catalunya
2008 Spanish Grand Prix,Accident,22,29,6,Circuit de Catalunya
2008 Turkish Grand Prix,Accident,1,3,1,Istanbul 
